ts,cpu_pct,mem_pct,latency_p99_ms,queue_depth,throughput_rps
2026-06-15T00:00:00,58.0,39.29,134.53,2822.6,1355.5
2026-06-15T00:01:00,58.7,41.03,127.79,3113.9,1367.4
2026-06-15T00:02:00,56.69,41.81,120.12,2805.4,1322.5
2026-06-15T00:03:00,58.19,40.34,151.13,2825.2,1351.6
2026-06-15T00:04:00,53.84,39.73,137.97,2763.2,1372.4
2026-06-15T00:05:00,52.84,38.15,132.56,2768.0,1358.7
2026-06-15T00:06:00,53.06,37.12,146.47,2763.8,1371.1
2026-06-15T00:07:00,52.38,41.1,129.07,2873.3,1348.2
2026-06-15T00:08:00,59.42,35.75,132.76,2871.6,1348.6
2026-06-15T00:09:00,48.75,41.83,141.56,2782.2,1331.7
2026-06-15T00:10:00,53.06,38.3,136.12,2971.5,1351.7
2026-06-15T00:11:00,52.67,38.27,150.59,3005.3,1387.4
2026-06-15T00:12:00,51.89,43.32,150.77,2995.5,1386.7
2026-06-15T00:13:00,58.71,36.99,145.78,3258.5,1371.8
2026-06-15T00:14:00,55.6,34.3,129.65,2778.3,1356.3
2026-06-15T00:15:00,53.07,34.01,144.97,2761.3,1349.9
2026-06-15T00:16:00,53.2,37.65,139.98,2752.2,1358.2
2026-06-15T00:17:00,57.7,37.75,128.32,2812.8,1359.1
2026-06-15T00:18:00,55.14,36.75,126.64,3214.4,1358.7
2026-06-15T00:19:00,55.51,37.26,141.72,2763.0,1345.0
2026-06-15T00:20:00,51.13,37.92,132.99,2770.7,1367.1
2026-06-15T00:21:00,57.45,39.67,119.6,2850.0,1339.6
2026-06-15T00:22:00,58.96,40.98,138.93,2774.0,1348.6
2026-06-15T00:23:00,50.7,36.83,128.93,3093.4,1361.1
2026-06-15T00:24:00,62.57,40.9,141.88,2888.5,1317.9
2026-06-15T00:25:00,60.97,40.25,151.96,2979.8,1346.6
2026-06-15T00:26:00,52.04,41.51,130.85,2835.0,1341.5
2026-06-15T00:27:00,55.35,34.16,134.86,2789.3,1353.9
2026-06-15T00:28:00,49.87,38.15,127.03,2755.9,1352.4
2026-06-15T00:29:00,51.46,36.46,135.8,2784.4,1377.1
2026-06-15T00:30:00,52.8,38.75,130.19,2782.8,1356.3
2026-06-15T00:31:00,54.17,34.93,136.52,2783.0,1354.7
2026-06-15T00:32:00,53.9,36.22,135.2,2944.7,1346.2
2026-06-15T00:33:00,55.28,38.13,142.73,2790.7,1364.3
2026-06-15T00:34:00,54.36,37.19,141.81,2793.3,1350.5
2026-06-15T00:35:00,51.0,39.0,130.55,2836.4,1373.5
2026-06-15T00:36:00,59.86,39.92,138.72,2805.7,1328.5
2026-06-15T00:37:00,54.91,34.86,142.31,2959.4,1344.8
2026-06-15T00:38:00,56.75,35.58,137.86,2796.2,1366.4
2026-06-15T00:39:00,51.9,39.47,140.07,2754.3,1345.1
2026-06-15T00:40:00,53.14,40.33,160.47,2895.7,1333.3
2026-06-15T00:41:00,55.56,38.96,122.43,2824.8,1363.5
2026-06-15T00:42:00,50.71,36.38,131.51,2783.7,1347.9
2026-06-15T00:43:00,50.63,38.26,136.48,2809.5,1338.1
2026-06-15T00:44:00,50.36,40.49,135.34,2805.9,1335.7
2026-06-15T00:45:00,58.85,37.2,135.73,2768.4,1353.2
2026-06-15T00:46:00,49.71,36.96,141.94,2843.5,1339.9
2026-06-15T00:47:00,51.08,40.12,138.28,2845.1,1336.3
2026-06-15T00:48:00,55.23,38.88,138.69,2796.7,1349.7
2026-06-15T00:49:00,56.17,36.32,140.13,2805.8,1347.3
2026-06-15T00:50:00,51.2,41.36,147.88,2775.0,1326.4
2026-06-15T00:51:00,56.25,36.67,135.77,2773.8,1330.3
2026-06-15T00:52:00,56.7,37.57,123.8,2778.9,1361.6
2026-06-15T00:53:00,55.85,35.63,130.18,2790.4,1362.8
2026-06-15T00:54:00,57.92,40.31,133.45,2954.0,1331.1
2026-06-15T00:55:00,52.91,39.52,140.04,2824.5,1348.9
2026-06-15T00:56:00,53.57,39.04,140.39,2769.3,1367.2
2026-06-15T00:57:00,52.86,38.1,143.32,2817.4,1362.3
2026-06-15T00:58:00,49.74,33.89,136.64,2763.8,1344.3
2026-06-15T00:59:00,54.68,35.08,135.83,2825.2,1364.0
2026-06-15T01:00:00,53.44,36.88,119.22,2753.9,1351.6
2026-06-15T01:01:00,58.71,37.74,140.35,2908.3,1339.1
2026-06-15T01:02:00,56.02,43.13,131.84,3043.7,1329.6
2026-06-15T01:03:00,55.71,40.0,126.47,3056.4,1355.6
2026-06-15T01:04:00,53.13,41.27,133.23,2774.0,1358.8
2026-06-15T01:05:00,55.9,41.35,154.07,2763.4,1373.5
2026-06-15T01:06:00,57.78,34.75,137.71,2831.4,1325.2
2026-06-15T01:07:00,56.06,38.43,141.95,2769.5,1340.7
2026-06-15T01:08:00,54.91,40.9,146.52,2876.9,1366.3
2026-06-15T01:09:00,54.14,37.39,127.39,2862.4,1332.5
2026-06-15T01:10:00,51.15,38.73,135.33,2811.4,1347.2
2026-06-15T01:11:00,59.62,42.1,143.84,2756.3,1364.0
2026-06-15T01:12:00,50.73,34.91,137.33,2910.5,1370.1
2026-06-15T01:13:00,54.74,36.76,139.27,2823.5,1366.8
2026-06-15T01:14:00,53.31,38.16,140.67,3017.3,1372.4
2026-06-15T01:15:00,49.13,35.8,136.86,2824.1,1324.9
2026-06-15T01:16:00,50.7,39.01,139.13,2779.9,1356.4
2026-06-15T01:17:00,57.05,37.79,145.36,2762.8,1318.7
2026-06-15T01:18:00,53.5,35.47,127.25,3051.1,1363.7
2026-06-15T01:19:00,57.1,37.14,146.0,3006.5,1343.5
2026-06-15T01:20:00,54.93,35.78,141.32,2928.5,1338.0
2026-06-15T01:21:00,50.56,35.32,132.35,2789.1,1335.2
2026-06-15T01:22:00,53.62,36.81,135.31,2782.1,1359.6
2026-06-15T01:23:00,56.37,38.3,131.8,2889.7,1359.5
2026-06-15T01:24:00,60.52,37.7,136.41,2803.3,1315.4
2026-06-15T01:25:00,48.6,37.07,132.84,2963.3,1373.2
2026-06-15T01:26:00,55.3,39.68,131.14,2802.3,1335.9
2026-06-15T01:27:00,55.36,38.56,139.0,2959.4,1345.5
2026-06-15T01:28:00,51.67,37.19,134.65,3032.8,1353.3
2026-06-15T01:29:00,54.6,36.12,142.04,3091.6,1356.9
2026-06-15T01:30:00,55.61,39.84,142.41,2820.6,1373.0
2026-06-15T01:31:00,56.09,39.63,123.02,2822.0,1362.2
2026-06-15T01:32:00,58.26,39.22,136.23,2751.0,1343.7
2026-06-15T01:33:00,57.4,40.74,151.92,2827.2,1359.1
2026-06-15T01:34:00,57.4,36.91,141.4,3058.1,1355.9
2026-06-15T01:35:00,54.59,37.79,134.61,3048.8,1347.8
2026-06-15T01:36:00,53.76,38.72,135.26,2912.2,1354.0
2026-06-15T01:37:00,51.48,39.28,135.18,2851.6,1374.1
2026-06-15T01:38:00,53.89,39.72,160.66,2783.6,1356.0
2026-06-15T01:39:00,55.2,33.18,130.65,2841.7,1338.2
2026-06-15T01:40:00,55.72,35.9,130.1,2887.0,1359.5
2026-06-15T01:41:00,56.58,38.16,137.51,2844.0,1340.9
2026-06-15T01:42:00,53.15,37.93,134.27,2854.7,1371.0
2026-06-15T01:43:00,56.97,42.63,140.85,2788.9,1332.6
2026-06-15T01:44:00,53.6,39.53,133.49,2884.7,1323.7
2026-06-15T01:45:00,52.29,41.02,124.8,2897.1,1351.0
2026-06-15T01:46:00,56.6,37.55,134.4,2803.9,1357.5
2026-06-15T01:47:00,55.48,37.61,144.24,2812.2,1351.0
2026-06-15T01:48:00,51.54,41.92,131.04,2767.9,1348.0
2026-06-15T01:49:00,52.23,40.9,143.04,2868.5,1361.9
2026-06-15T01:50:00,56.79,39.94,157.75,3073.5,1356.2
2026-06-15T01:51:00,57.86,42.26,129.93,2805.8,1351.5
2026-06-15T01:52:00,58.54,35.8,139.56,2784.9,1354.6
2026-06-15T01:53:00,54.71,37.46,129.35,2831.9,1328.0
2026-06-15T01:54:00,54.8,37.9,121.56,2860.0,1375.4
2026-06-15T01:55:00,53.9,37.83,132.45,2777.0,1345.4
2026-06-15T01:56:00,54.5,36.95,129.39,2750.4,1365.1
2026-06-15T01:57:00,60.56,39.62,125.08,2817.5,1337.5
2026-06-15T01:58:00,55.89,37.0,144.79,2789.8,1365.6
2026-06-15T01:59:00,51.93,36.75,145.89,2821.4,1365.4
2026-06-15T02:00:00,53.45,38.48,158.41,2750.3,1346.4
2026-06-15T02:01:00,54.53,43.12,140.09,2857.5,1333.4
2026-06-15T02:02:00,52.12,39.36,136.09,2896.1,1362.2
2026-06-15T02:03:00,54.73,36.01,149.97,2847.2,1351.9
2026-06-15T02:04:00,50.39,37.09,134.35,2789.6,1339.0
2026-06-15T02:05:00,56.23,37.14,125.3,3246.2,1364.9
2026-06-15T02:06:00,58.97,40.52,152.16,2752.0,1380.5
2026-06-15T02:07:00,55.7,38.81,139.51,2826.4,1345.2
2026-06-15T02:08:00,56.34,38.1,137.1,2841.4,1365.2
2026-06-15T02:09:00,53.19,39.42,139.38,2785.5,1326.4
2026-06-15T02:10:00,55.94,36.44,141.28,2808.1,1356.8
2026-06-15T02:11:00,53.42,35.86,126.6,2754.3,1353.6
2026-06-15T02:12:00,54.99,39.91,144.98,2971.5,1369.0
2026-06-15T02:13:00,53.83,35.22,138.83,2757.4,1362.1
2026-06-15T02:14:00,53.25,37.12,139.26,2979.2,1347.2
2026-06-15T02:15:00,53.48,37.27,132.23,3040.6,1350.7
2026-06-15T02:16:00,54.54,34.01,129.14,2849.5,1348.7
2026-06-15T02:17:00,58.65,39.38,141.86,2761.8,1348.9
2026-06-15T02:18:00,51.75,37.08,146.03,3015.9,1344.8
2026-06-15T02:19:00,55.35,39.93,127.73,2843.4,1369.8
2026-06-15T02:20:00,58.25,36.84,143.23,2765.5,1344.5
2026-06-15T02:21:00,57.36,43.83,132.51,2815.0,1316.5
2026-06-15T02:22:00,56.64,38.03,132.67,2841.0,1353.2
2026-06-15T02:23:00,56.16,40.32,142.17,2887.3,1349.4
2026-06-15T02:24:00,53.16,35.72,138.3,2788.4,1346.2
2026-06-15T02:25:00,56.04,39.14,151.25,2997.8,1323.1
2026-06-15T02:26:00,54.25,38.24,137.33,2864.3,1328.4
2026-06-15T02:27:00,53.62,38.97,143.35,2802.3,1367.9
2026-06-15T02:28:00,59.53,39.33,144.06,2758.7,1368.5
2026-06-15T02:29:00,54.38,39.49,141.57,2778.0,1354.9
2026-06-15T02:30:00,55.68,40.04,142.65,2824.8,1353.7
2026-06-15T02:31:00,61.16,36.73,131.92,2769.9,1351.3
2026-06-15T02:32:00,53.64,34.85,136.06,2902.8,1356.9
2026-06-15T02:33:00,52.5,38.15,136.29,2756.0,1336.6
2026-06-15T02:34:00,54.34,44.09,130.25,2839.9,1358.8
2026-06-15T02:35:00,56.73,36.93,144.81,2964.3,1326.9
2026-06-15T02:36:00,50.9,38.43,135.07,2881.0,1362.5
2026-06-15T02:37:00,51.57,36.45,129.45,2951.7,1356.2
2026-06-15T02:38:00,54.42,38.44,145.55,2946.2,1339.7
2026-06-15T02:39:00,49.87,39.68,147.5,2788.0,1351.6
2026-06-15T02:40:00,57.42,34.04,139.11,2773.3,1364.2
2026-06-15T02:41:00,55.01,41.72,131.06,2847.0,1355.6
2026-06-15T02:42:00,53.18,37.88,144.3,2790.4,1338.8
2026-06-15T02:43:00,58.23,40.0,139.27,2841.0,1352.8
2026-06-15T02:44:00,52.85,37.61,129.79,2991.6,1350.1
2026-06-15T02:45:00,58.23,38.22,143.5,2965.4,1356.6
2026-06-15T02:46:00,54.49,39.35,152.0,2998.1,1329.8
2026-06-15T02:47:00,55.42,40.05,128.33,2795.3,1335.7
2026-06-15T02:48:00,56.69,36.53,149.81,2759.9,1352.3
2026-06-15T02:49:00,50.8,37.44,121.05,2809.7,1384.2
2026-06-15T02:50:00,58.5,36.69,126.02,2829.3,1348.7
2026-06-15T02:51:00,54.18,38.66,132.34,2778.5,1338.9
2026-06-15T02:52:00,52.7,36.72,141.85,2788.5,1345.0
2026-06-15T02:53:00,51.22,36.89,137.81,2844.3,1357.6
2026-06-15T02:54:00,52.52,40.97,128.28,2906.2,1347.9
2026-06-15T02:55:00,55.48,36.63,136.59,2782.9,1335.8
2026-06-15T02:56:00,59.09,40.59,131.93,2827.1,1327.1
2026-06-15T02:57:00,59.15,37.05,142.49,2899.9,1355.3
