ts,cpu_pct,mem_pct,latency_p99_ms,queue_depth,throughput_rps
2026-06-15T00:00:00,17.62,13.9,53.8,1199.0,2412.6
2026-06-15T00:01:00,21.61,10.01,47.87,1027.8,2387.0
2026-06-15T00:02:00,18.98,17.51,63.04,1027.7,2385.6
2026-06-15T00:03:00,21.45,13.45,33.4,1053.2,2378.5
2026-06-15T00:04:00,14.12,13.17,49.9,1036.9,2399.9
2026-06-15T00:05:00,21.95,11.82,43.4,1127.8,2429.4
2026-06-15T00:06:00,17.07,13.19,60.5,1092.6,2402.4
2026-06-15T00:07:00,21.29,9.87,51.35,1099.5,2402.8
2026-06-15T00:08:00,18.45,18.39,57.4,1021.4,2401.2
2026-06-15T00:09:00,22.92,14.63,36.38,1147.8,2400.2
2026-06-15T00:10:00,22.73,15.69,38.23,1012.5,2414.2
2026-06-15T00:11:00,15.42,15.94,50.51,1001.1,2375.8
2026-06-15T00:12:00,10.12,15.56,39.92,1025.0,2388.2
2026-06-15T00:13:00,17.46,10.97,58.36,1001.9,2401.2
2026-06-15T00:14:00,19.1,14.17,57.26,1053.6,2415.1
2026-06-15T00:15:00,18.92,16.31,46.81,1026.1,2391.8
2026-06-15T00:16:00,22.32,15.58,68.45,1058.2,2405.3
2026-06-15T00:17:00,19.13,11.48,53.89,1249.4,2384.9
2026-06-15T00:18:00,17.76,10.75,42.39,1026.9,2390.1
2026-06-15T00:19:00,16.78,12.09,54.63,1227.3,2420.1
2026-06-15T00:20:00,20.96,15.64,45.02,1054.9,2408.3
2026-06-15T00:21:00,17.11,14.7,41.66,1226.4,2401.5
2026-06-15T00:22:00,16.79,14.27,55.26,1094.5,2420.7
2026-06-15T00:23:00,20.44,15.92,64.14,1060.9,2401.7
2026-06-15T00:24:00,19.5,15.02,41.65,1069.2,2401.9
2026-06-15T00:25:00,21.6,12.49,45.02,1028.4,2418.1
2026-06-15T00:26:00,19.34,12.2,42.11,1430.6,2383.5
2026-06-15T00:27:00,13.45,11.98,51.0,1033.0,2410.3
2026-06-15T00:28:00,20.12,12.44,51.37,1008.3,2407.4
2026-06-15T00:29:00,23.73,9.83,51.31,1176.1,2383.9
2026-06-15T00:30:00,23.96,13.11,56.23,1121.9,2409.3
2026-06-15T00:31:00,19.55,18.34,45.2,1028.0,2383.0
2026-06-15T00:32:00,19.71,17.53,60.84,1097.5,2387.7
2026-06-15T00:33:00,18.93,14.05,52.31,1044.3,2410.6
2026-06-15T00:34:00,17.96,14.59,54.15,1022.0,2412.3
2026-06-15T00:35:00,17.35,14.88,55.29,1105.9,2399.6
2026-06-15T00:36:00,23.51,11.27,49.04,1037.9,2426.2
2026-06-15T00:37:00,19.96,14.67,54.72,1038.4,2388.5
2026-06-15T00:38:00,21.23,11.45,46.53,1096.5,2377.1
2026-06-15T00:39:00,15.71,15.7,36.14,1114.1,2406.3
2026-06-15T00:40:00,16.94,13.72,55.41,1070.7,2392.0
