ts,cpu_pct,mem_pct,latency_p99_ms,queue_depth,throughput_rps
2026-06-15T00:00:00,46.49,31.22,117.68,2267.0,1672.8
2026-06-15T00:01:00,45.84,33.52,107.85,2270.3,1642.1
2026-06-15T00:02:00,45.73,27.67,98.7,2344.6,1641.6
2026-06-15T00:03:00,43.72,30.02,106.87,2403.8,1617.9
2026-06-15T00:04:00,45.2,28.65,108.14,2343.5,1651.7
2026-06-15T00:05:00,43.2,33.4,114.83,2308.0,1640.5
2026-06-15T00:06:00,44.96,29.39,119.08,2287.4,1631.7
2026-06-15T00:07:00,53.34,33.89,114.25,2504.9,1663.2
2026-06-15T00:08:00,44.66,30.9,100.67,2426.5,1639.2
2026-06-15T00:09:00,40.96,29.74,103.46,2412.0,1652.0
2026-06-15T00:10:00,42.97,32.73,120.75,2397.5,1664.0
2026-06-15T00:11:00,44.38,30.26,100.43,2256.6,1666.5
2026-06-15T00:12:00,41.69,29.11,119.0,2468.2,1670.3
2026-06-15T00:13:00,41.89,31.35,120.28,2332.4,1661.9
2026-06-15T00:14:00,44.9,34.63,91.54,2252.6,1662.3
2026-06-15T00:15:00,40.75,33.59,119.73,2278.7,1650.3
2026-06-15T00:16:00,49.44,30.47,106.03,2515.5,1642.5
2026-06-15T00:17:00,46.51,33.82,114.56,2270.6,1654.7
2026-06-15T00:18:00,45.3,33.44,106.88,2275.9,1645.1
2026-06-15T00:19:00,48.83,30.92,91.26,2275.1,1655.2
2026-06-15T00:20:00,43.98,29.9,111.21,2323.1,1656.1
2026-06-15T00:21:00,42.18,34.31,112.35,2285.8,1624.9
2026-06-15T00:22:00,45.19,36.43,110.96,2265.7,1654.5
2026-06-15T00:23:00,46.03,31.49,118.64,2393.4,1632.8
2026-06-15T00:24:00,47.39,29.69,123.72,2350.4,1629.0
2026-06-15T00:25:00,42.37,31.66,108.55,2270.6,1663.8
2026-06-15T00:26:00,45.31,30.5,100.09,2353.6,1651.0
2026-06-15T00:27:00,46.62,29.68,117.46,2264.8,1647.6
2026-06-15T00:28:00,42.66,30.86,119.01,2419.9,1631.5
2026-06-15T00:29:00,49.11,36.59,109.9,2477.5,1646.9
2026-06-15T00:30:00,45.79,33.07,102.6,2379.4,1630.2
2026-06-15T00:31:00,46.87,33.94,114.31,2250.9,1662.7
2026-06-15T00:32:00,45.9,30.08,127.43,2355.5,1657.1
2026-06-15T00:33:00,47.22,29.6,106.49,2387.2,1633.0
2026-06-15T00:34:00,47.91,32.33,119.08,2259.8,1678.5
2026-06-15T00:35:00,40.91,29.97,119.53,2349.7,1646.4
2026-06-15T00:36:00,45.06,34.42,110.38,2271.7,1690.8
2026-06-15T00:37:00,42.13,33.46,112.84,2269.5,1647.9
2026-06-15T00:38:00,44.35,32.94,116.29,2581.4,1648.9
2026-06-15T00:39:00,43.66,33.06,120.86,2288.1,1644.9
2026-06-15T00:40:00,45.66,29.02,113.89,2334.4,1655.8
2026-06-15T00:41:00,45.71,29.89,120.96,2385.0,1650.8
2026-06-15T00:42:00,48.27,33.62,101.48,2415.7,1635.9
2026-06-15T00:43:00,45.93,32.03,112.69,2319.6,1663.1
2026-06-15T00:44:00,46.73,33.78,120.13,2470.7,1659.8
2026-06-15T00:45:00,41.56,28.51,113.82,2253.7,1637.2
2026-06-15T00:46:00,51.97,27.78,117.99,2253.1,1625.8
2026-06-15T00:47:00,42.34,30.84,124.98,2274.3,1651.9
2026-06-15T00:48:00,42.83,31.94,112.86,2327.8,1640.2
2026-06-15T00:49:00,49.11,33.17,112.62,2289.0,1656.6
2026-06-15T00:50:00,43.04,33.22,106.16,2252.6,1648.3
2026-06-15T00:51:00,42.71,34.84,109.83,2278.8,1645.2
