ts,cpu_pct,mem_pct,latency_p99_ms,queue_depth,throughput_rps
2026-06-15T00:00:00,18.52,12.78,40.67,857.7,2539.4
2026-06-15T00:01:00,14.75,9.81,32.93,848.1,2542.8
2026-06-15T00:02:00,13.76,6.01,40.47,872.7,2530.3
2026-06-15T00:03:00,14.66,12.13,30.86,935.1,2523.0
2026-06-15T00:04:00,13.11,7.81,46.23,805.2,2563.1
2026-06-15T00:05:00,15.53,13.6,37.15,857.0,2530.1
2026-06-15T00:06:00,18.52,7.62,43.23,849.8,2543.3
2026-06-15T00:07:00,14.45,10.39,43.37,757.3,2556.2
2026-06-15T00:08:00,17.63,9.4,36.26,776.8,2546.9
2026-06-15T00:09:00,16.68,11.01,44.28,800.9,2546.5
2026-06-15T00:10:00,16.78,9.91,29.89,762.6,2554.2
2026-06-15T00:11:00,14.28,11.62,37.25,895.9,2512.0
2026-06-15T00:12:00,12.63,10.37,54.52,925.9,2558.4
2026-06-15T00:13:00,18.51,5.6,40.46,754.2,2542.4
2026-06-15T00:14:00,18.46,10.2,44.07,893.4,2570.2
2026-06-15T00:15:00,11.89,9.58,42.36,900.8,2551.8
2026-06-15T00:16:00,19.02,10.72,39.79,836.1,2531.8
2026-06-15T00:17:00,18.72,11.42,38.8,1060.6,2570.1
2026-06-15T00:18:00,13.32,14.71,38.3,761.0,2521.9
2026-06-15T00:19:00,12.7,11.43,40.84,1117.7,2549.4
2026-06-15T00:20:00,18.64,9.57,34.5,1129.0,2541.6
2026-06-15T00:21:00,12.68,12.25,44.66,811.8,2532.8
2026-06-15T00:22:00,13.41,9.37,30.49,872.6,2549.8
2026-06-15T00:23:00,15.32,10.14,32.84,806.4,2537.7
2026-06-15T00:24:00,16.07,12.68,26.02,776.6,2556.7
2026-06-15T00:25:00,15.71,8.82,30.89,839.6,2539.0
2026-06-15T00:26:00,10.5,8.21,31.63,795.1,2553.1
2026-06-15T00:27:00,14.26,9.16,52.86,1048.2,2572.9
2026-06-15T00:28:00,15.37,12.11,34.82,922.7,2533.3
2026-06-15T00:29:00,16.92,12.31,42.32,762.3,2562.0
2026-06-15T00:30:00,15.77,12.85,30.97,932.7,2530.8
2026-06-15T00:31:00,20.47,13.58,33.16,755.8,2551.3
2026-06-15T00:32:00,17.8,11.2,36.29,929.6,2548.9
2026-06-15T00:33:00,10.41,8.13,39.02,811.1,2556.6
2026-06-15T00:34:00,18.65,12.55,46.26,806.1,2560.9
2026-06-15T00:35:00,9.85,9.9,33.6,757.5,2577.3
2026-06-15T00:36:00,17.86,10.2,41.06,757.0,2561.4
2026-06-15T00:37:00,11.29,11.9,33.69,977.2,2553.1
2026-06-15T00:38:00,18.0,11.47,33.07,783.1,2530.9
2026-06-15T00:39:00,10.78,10.25,34.04,791.0,2562.4
2026-06-15T00:40:00,19.74,10.02,26.83,855.4,2566.6
2026-06-15T00:41:00,15.34,9.74,32.38,803.6,2541.8
2026-06-15T00:42:00,12.16,8.46,39.5,860.9,2575.8
2026-06-15T00:43:00,12.36,11.04,35.49,770.0,2536.4
2026-06-15T00:44:00,14.82,9.73,34.48,839.9,2538.2
2026-06-15T00:45:00,17.45,8.76,40.1,772.8,2568.9
2026-06-15T00:46:00,11.22,10.45,31.36,761.6,2552.0
2026-06-15T00:47:00,19.45,9.12,42.18,790.1,2545.3
2026-06-15T00:48:00,14.21,11.0,38.59,823.9,2545.2
2026-06-15T00:49:00,19.44,10.2,41.22,755.8,2542.9
2026-06-15T00:50:00,12.63,9.34,44.24,837.7,2557.6
2026-06-15T00:51:00,16.39,10.57,33.32,850.8,2570.2
2026-06-15T00:52:00,23.58,10.95,27.28,873.0,2571.9
2026-06-15T00:53:00,13.9,10.84,39.63,756.6,2543.7
2026-06-15T00:54:00,13.44,7.82,51.42,770.3,2553.0
2026-06-15T00:55:00,20.76,6.61,31.96,1078.4,2565.1
2026-06-15T00:56:00,20.49,6.77,30.86,829.2,2557.8
2026-06-15T00:57:00,11.16,10.72,34.69,764.6,2539.3
2026-06-15T00:58:00,17.79,9.87,43.25,787.2,2566.1
2026-06-15T00:59:00,10.66,11.48,36.43,846.1,2558.6
2026-06-15T01:00:00,12.25,12.53,35.66,798.8,2545.0
2026-06-15T01:01:00,17.17,9.33,27.52,792.1,2570.3
2026-06-15T01:02:00,12.53,9.19,20.0,805.1,2562.1
2026-06-15T01:03:00,12.13,9.49,27.75,977.7,2539.3
2026-06-15T01:04:00,11.6,9.66,37.11,754.7,2553.5
2026-06-15T01:05:00,12.5,11.03,25.33,772.5,2554.5
2026-06-15T01:06:00,13.17,11.65,47.71,964.8,2509.0
2026-06-15T01:07:00,18.53,13.87,51.01,1136.5,2539.3
2026-06-15T01:08:00,14.26,12.16,30.6,776.3,2560.6
2026-06-15T01:09:00,13.22,10.68,36.29,772.4,2540.9
2026-06-15T01:10:00,17.46,10.17,35.15,845.3,2537.2
2026-06-15T01:11:00,12.4,11.59,43.28,758.6,2550.4
2026-06-15T01:12:00,17.8,9.35,32.26,759.8,2536.6
2026-06-15T01:13:00,17.48,9.17,44.35,1055.5,2518.2
2026-06-15T01:14:00,14.83,10.8,41.52,815.9,2549.3
2026-06-15T01:15:00,12.82,6.93,38.63,855.7,2543.4
2026-06-15T01:16:00,13.07,10.71,61.3,829.9,2567.7
2026-06-15T01:17:00,18.13,11.52,25.71,755.6,2542.4
2026-06-15T01:18:00,10.84,12.82,39.54,858.2,2573.1
2026-06-15T01:19:00,21.16,12.53,37.8,905.4,2539.2
2026-06-15T01:20:00,15.89,8.06,21.81,1250.9,2578.7
2026-06-15T01:21:00,16.13,10.48,45.42,806.1,2533.5
2026-06-15T01:22:00,12.51,7.64,44.11,807.2,2529.9
2026-06-15T01:23:00,8.86,11.14,24.86,829.1,2548.5
2026-06-15T01:24:00,13.05,10.41,50.5,1216.1,2586.0
2026-06-15T01:25:00,18.36,9.23,30.64,779.0,2521.9
2026-06-15T01:26:00,15.98,5.61,48.57,945.4,2538.5
2026-06-15T01:27:00,17.35,9.47,35.75,945.1,2536.2
2026-06-15T01:28:00,15.53,12.24,39.34,943.6,2521.7
2026-06-15T01:29:00,8.29,10.78,39.82,1002.2,2560.6
2026-06-15T01:30:00,8.94,9.87,41.47,751.3,2563.2
2026-06-15T01:31:00,16.47,8.33,42.84,1017.2,2543.3
2026-06-15T01:32:00,19.08,11.86,42.23,842.7,2561.5
2026-06-15T01:33:00,19.32,11.56,40.33,799.3,2544.7
2026-06-15T01:34:00,15.3,11.57,33.92,970.1,2563.7
2026-06-15T01:35:00,15.93,10.87,45.65,872.9,2557.4
2026-06-15T01:36:00,17.29,10.27,34.38,871.8,2554.2
2026-06-15T01:37:00,14.28,6.01,28.38,917.3,2568.9
2026-06-15T01:38:00,10.88,8.08,32.66,843.8,2533.1
2026-06-15T01:39:00,16.85,11.53,28.93,923.7,2556.7
2026-06-15T01:40:00,11.37,5.8,24.1,927.0,2558.6
2026-06-15T01:41:00,14.8,10.81,26.84,752.0,2557.2
2026-06-15T01:42:00,15.75,10.63,40.32,769.7,2523.6
2026-06-15T01:43:00,17.62,6.73,38.23,798.7,2550.0
2026-06-15T01:44:00,13.74,12.72,36.23,759.1,2552.4
2026-06-15T01:45:00,18.4,9.09,41.95,1117.0,2515.4
2026-06-15T01:46:00,16.99,13.49,21.78,789.2,2555.8
2026-06-15T01:47:00,14.19,14.35,52.42,819.6,2546.6
2026-06-15T01:48:00,15.38,12.03,31.46,781.2,2521.5
2026-06-15T01:49:00,13.2,6.92,52.73,782.8,2597.0
2026-06-15T01:50:00,14.15,10.86,58.71,777.5,2552.3
